col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
77.99373650029567,210.04324890198976,210.04324890198976,246.2243641175738,193.24546927943223,235.88305081442263,228.14509621822808,207.0660042975385,164.8166478851543,215.32028991388168,201.51658629786726,177.10252754087196,144.80230853770738,198.02569701653434,190.25880072413602,172.37792006228096,131.6709357362856,178.4075125802654,177.99159914821018,164.9766629212124,power6923.png,power
66.42968872173103,172.12401834112643,172.12401834112643,201.0807295799564,160.65607099224252,213.96397372369609,218.4213100811063,208.0936791391925,156.36691215510848,209.07187051022876,206.95923552754266,195.8076859062674,148.80254134673632,197.792798072268,197.13659949119688,188.4958262230833,139.42932570043638,176.73318783531985,182.85250157051132,178.9897464003654,power2205.png,power
56.649148552562494,137.8743673573704,137.8743673573704,157.04719802939073,109.72841758058142,157.6371639978523,160.11862095876896,149.02136206000952,104.50874834542466,153.77220576875578,150.30130429269684,138.60850591227452,100.26017512216674,142.7801822105792,138.10500076246987,124.67923248938965,94.11878013762463,125.85404066655644,124.31759824048409,113.90065608376122,power3967.png,power
97.82004823340637,232.66712286475394,232.66712286475394,247.34431420684973,180.15608473143726,246.95560020894843,246.5305014502924,232.66501356859152,170.1847053569129,234.65176229233222,231.81202373756696,216.27451333853728,157.21433297508648,203.79798212938476,203.59132531972963,187.1559380896619,140.33004083844557,174.09506023881858,175.41900263829973,162.346439047773,power4812.png,power
79.09263328439651,300.2801007659985,300.2801007659985,405.4684636936744,326.94175810014684,435.920241098731,503.5719964103188,547.2532958998469,316.15841014762395,433.99680406313473,502.68570157504337,552.3336881086298,307.7894742646603,430.18348240329965,485.32986074033755,524.8744303916458,309.80028475682116,416.56951927142285,458.28246798748705,479.4313988937455,power2522.png,power
91.91037701258227,239.83428761942247,239.83428761942247,248.11984124056463,148.679430810294,252.38560284481588,253.39356300454654,236.00141332373764,143.14968305639522,249.61246198568327,245.17997639620592,220.70390220541253,145.23428972499488,230.37830141629908,221.6250264133141,196.92071698579682,146.42539884974758,202.03593253188274,198.0441361885773,180.06340015918659,power4200.png,power
83.74740927086914,217.06424428987745,217.06424428987745,235.28788569769623,185.77408360076484,252.7666984854919,232.50800559207784,205.20472354002735,186.57660065483327,242.03943724728674,222.2942968560538,197.55423021786254,178.8105385233454,218.33373872008585,203.11717849729317,176.44828583448154,166.1664627432316,196.15470307918505,184.9004685877491,163.18074077349462,power6173.png,power
75.59205355801267,183.19968109426438,183.19968109426438,206.21351493951963,151.3101984044319,210.64987990995672,245.25956033848885,262.92101609958314,135.33056926995857,190.3517948790424,219.83224491378894,236.67637256158415,120.69388985307658,165.7881447013355,191.5700808048169,205.17180049065874,106.58305058881245,142.5628012962098,164.52160289472204,176.98454142966375,power1541.png,power
75.57167863344256,157.19601419797826,157.19601419797826,184.75016583122672,137.39540622253594,198.2910802787795,235.52306029051303,255.66790655183843,125.93671731236257,194.3958881125785,208.35796256730725,210.44812756128684,117.24378054966105,173.52154057773714,184.28162004398547,181.17805948013,109.27554656551574,149.66148054779666,159.8462093103679,158.36922384388393,power0937.png,power
38.809235921227504,114.9986112762097,114.9986112762097,152.5722219542116,100.19462554590827,144.01565637804242,175.06111577379386,196.27259029861807,97.3550667819575,140.5499338044425,169.98937639523785,194.71085112635078,91.46845746839705,126.88628181538583,151.9033579922576,171.81686741676853,85.35828887113794,114.82205502313565,133.74559137343405,150.24354828717458,power0732.png,power
